"ts","x","y","z"
1.859465780E2,-9.377360344E-1,7.454884052E-1,2.719451487E-1
1.859566270E2,-7.228011489E-1,8.971477151E-1,1.223774925E-1
1.859666750E2,-5.264411569E-1,9.294198751E-1,-3.017716482E-2
1.859767240E2,-3.996773660E-1,8.211778402E-1,-1.129292995E-1
1.859867720E2,-3.110060692E-1,5.409948826E-1,-1.237809956E-1
1.859968210E2,-2.576498985E-1,1.833390743E-1,-8.512574434E-2
1.860068690E2,-2.275750935E-1,-9.377135336E-2,2.369122952E-2
1.860169180E2,-2.239846289E-1,-2.553013861E-1,1.403994709E-1
1.860269660E2,-2.251463383E-1,-3.213877678E-1,2.316632867E-1
1.860370150E2,-2.431301326E-1,-3.540330827E-1,3.143099546E-1
1.860470630E2,-2.666527629E-1,-3.797538579E-1,3.467962742E-1
1.860571120E2,-2.950558960E-1,-3.626957834E-1,3.237846792E-1
1.860671600E2,-3.208544552E-1,-2.769065797E-1,2.884210050E-1
1.860772090E2,-3.421421647E-1,-1.540605575E-1,2.648355365E-1
1.860872570E2,-3.592261374E-1,-4.818342626E-2,2.461007684E-1
1.860973060E2,-3.600304127E-1,5.509236455E-2,2.403411418E-1
1.861073550E2,-3.613617122E-1,1.366087943E-1,2.517248392E-1
1.861174030E2,-3.651221097E-1,1.770084202E-1,2.722479403E-1
1.861274520E2,-3.670022786E-1,1.835361123E-1,2.807318568E-1
1.861375000E2,-3.721349835E-1,1.603085548E-1,2.748417556E-1
1.861475490E2,-3.708239198E-1,1.180060655E-1,2.562628090E-1
1.861575970E2,-3.677549064E-1,6.852293760E-2,2.107427269E-1
1.861676460E2,-3.613184988E-1,2.327005751E-2,1.551272273E-1
1.861776940E2,-3.263237476E-1,-2.622266114E-2,9.637550265E-2
1.861877430E2,-2.759386599E-1,-8.493579924E-2,2.093107812E-2
1.861977910E2,-2.095021009E-1,-1.355190724E-1,-5.719355121E-2
1.862078400E2,-1.434791535E-1,-1.748963296E-1,-1.327760369E-1
1.862178880E2,-8.746061474E-2,-2.058955133E-1,-1.882704496E-1
1.862279370E2,-7.951138169E-2,-2.264618129E-1,-2.207468450E-1
1.862379850E2,-1.126725301E-1,-2.280589044E-1,-2.099791616E-1
1.862480340E2,-1.900628507E-1,-2.107019424E-1,-1.666403115E-1
1.862580820E2,-2.894179225E-1,-1.973688304E-1,-1.002607569E-1
1.862681310E2,-3.632807434E-1,-1.663885713E-1,-2.165233530E-2
1.862781790E2,-3.872523904E-1,-1.115485057E-1,7.265446335E-2
1.862882280E2,-4.674724936E-1,-1.153673083E-1,1.983304173E-1
1.862982760E2,-7.450069189E-1,-2.173786312E-1,4.092820883E-1
1.863083250E2,-1.015072346E0,-2.086255401E-1,7.098000050E-1
1.863183730E2,-1.029444933E0,-1.969296718E-3,9.992810488E-1
1.863284220E2,-8.730883598E-1,3.085544705E-1,1.127322793E0
1.863384710E2,-8.781329393E-1,3.316198587E-1,1.008563399E0
